metric,n,group,n_cells,before,after,delta,win_rate
PIT_KS,500,Foundation,117,0.11515213159926001,0.07525943129009566,-0.03989270030916435,0.9230769230769231
PIT_KS,500,MDN,39,0.11574785945645671,0.061713258597939816,-0.0540346008585169,0.9743589743589743
PIT_KS,500,Other baselines,690,0.18049855707999998,0.0889639011283618,-0.09153465595163818,0.9652173913043478
PIT_KS,1000,Foundation,117,0.10587745303444965,0.07141324137302861,-0.03446421166142104,0.9230769230769231
PIT_KS,1000,MDN,39,0.09020765368030265,0.0483182402269759,-0.041889413453326745,1.0
PIT_KS,1000,Other baselines,702,0.17074554461239116,0.08035522401508653,-0.09039032059730463,0.9672364672364673
PIT_KS,5000,Foundation,102,0.10523548560591055,0.06923866912690131,-0.035996816479009236,0.9313725490196079
PIT_KS,5000,MDN,34,0.07651822261696879,0.042338157081956325,-0.03418006553501247,0.9705882352941176
PIT_KS,5000,Other baselines,612,0.15798572255335433,0.05113794496654081,-0.10684777758681352,0.9820261437908496
PIT_KS,10000,Foundation,75,0.10275053043877085,0.0673142871959265,-0.03543624324284435,0.9333333333333333
PIT_KS,10000,MDN,25,0.07157334384426274,0.038482545513839235,-0.033090798330423506,0.96
PIT_KS,10000,Other baselines,400,0.15674116730092014,0.05859574616451562,-0.09814542113640451,0.98
PIT_KS,20000,Foundation,46,0.09393724153543082,0.0564710897361234,-0.037466151799307415,0.9565217391304348
PIT_KS,20000,MDN,16,0.06744672096608507,0.039308251540622216,-0.02813846942546286,1.0
PIT_KS,20000,Other baselines,256,0.14493592437233213,0.04778497288239134,-0.0971509514899408,0.9921875
coverage_abs_err,500,Foundation,117,0.0403076923076923,0.02813675213675215,-0.012170940170940153,0.5641025641025641
coverage_abs_err,500,MDN,39,0.06102564102564104,0.039282051282051304,-0.02174358974358974,0.6153846153846154
coverage_abs_err,500,Other baselines,690,0.07772753623188407,0.05561739130434784,-0.022110144927536227,0.5956521739130435
coverage_abs_err,1000,Foundation,117,0.03446153846153846,0.02328205128205129,-0.01117948717948717,0.6495726495726496
coverage_abs_err,1000,MDN,39,0.04061538461538464,0.02953846153846155,-0.011076923076923092,0.6923076923076923
coverage_abs_err,1000,Other baselines,702,0.07492877492877494,0.05047293447293447,-0.024455840455840462,0.6680911680911681
coverage_abs_err,5000,Foundation,102,0.038439215686274494,0.017505882352941173,-0.02093333333333332,0.9705882352941176
coverage_abs_err,5000,MDN,34,0.023317647058823516,0.008070588235294133,-0.015247058823529383,0.8235294117647058
coverage_abs_err,5000,Other baselines,612,0.07020653594771242,0.03306797385620916,-0.03713856209150326,0.8986928104575164
coverage_abs_err,10000,Foundation,75,0.03804799999999999,0.016634666666666662,-0.02141333333333333,0.9066666666666666
coverage_abs_err,10000,MDN,25,0.02571199999999999,0.012832,-0.012879999999999989,0.92
coverage_abs_err,10000,Other baselines,400,0.06313399999999998,0.03304700000000001,-0.030086999999999975,0.8575
coverage_abs_err,20000,Foundation,46,0.03268695652173912,0.01533043478260868,-0.01735652173913044,1.0
coverage_abs_err,20000,MDN,16,0.02647499999999999,0.010374999999999995,-0.016099999999999996,0.9375
coverage_abs_err,20000,Other baselines,256,0.04995546874999998,0.025970312500000002,-0.02398515624999998,0.8671875
